#MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-360.3049927,129.9464417,-36.8936348,16.7130661,-10.43840218,-13.06541443,-40.25719452,-11.43126011,-16.07234192,-13.18468189,-19.98023415,-22.3606739,-8.643304825,-22.80623817,1.262081146,-4.684407234,-22.93824387,-1.687837243,-11.93588352,-11.78937244,1588.484213,1743.887163,21.09402006,0.014593517,3308.796659,0.131229057,0.097552698,1
-355.0427246,128.3443756,-27.33432388,12.16421795,-15.01968384,-19.65521431,-31.41230202,-8.686470985,-15.75650024,-15.45513535,-19.08701134,-21.25086212,-9.099824905,-22.59108353,1.877472758,-8.679177284,-22.53492355,2.41198349,-12.97892094,-10.34700966,1535.284536,1595.471541,21.23196574,0.009218684,3037.681632,0.107870722,0.085710744,1
-360.4921265,141.4203339,-37.1763382,17.24020195,-12.13271999,-17.21933365,-39.28786087,-13.44529438,-16.97178268,-11.17929935,-18.4494381,-24.52584076,-7.706514359,-24.37770844,1.995388865,-7.26396656,-24.91371155,1.612070203,-13.63033009,-10.89932346,1497.819691,1525.103631,21.03185676,0.007679908,2905.765763,0.133495666,0.081431858,1
-345.8312073,147.8275909,-38.04093552,14.96387196,-14.83578777,-19.97340584,-42.17139435,-10.26115513,-15.90738106,-15.95346642,-18.29189873,-23.89321899,-8.749434471,-28.36020851,5.080670834,-9.484881401,-26.49555588,5.509021282,-16.87024689,-8.230231285,1424.397847,1443.343585,21.86098608,0.004728042,2651.03397,0.137804768,0.075853661,1
-354.0644836,147.4016113,-36.45456696,11.44074154,-14.81858921,-20.56268311,-36.82186508,-5.850671291,-16.85433769,-16.91160774,-18.07224846,-23.77528572,-7.465528011,-26.22096825,0.730571747,-9.83864975,-23.62670898,3.009407043,-14.86158371,-7.434082031,1444.647431,1416.608826,21.43625122,0.006390951,2683.417107,0.12983732,0.071466688,1
-341.2316895,150.1261444,-46.82560349,13.08446217,-11.95498657,-19.96027374,-43.98161316,-7.504417896,-17.56401443,-17.20611763,-14.09909821,-24.96669769,-8.838646889,-24.62602425,7.653368473,-13.33762169,-24.95628738,7.701321602,-18.66672707,-6.222770214,1454.061147,1436.360084,21.66606212,0.006230914,2690.467064,0.140699316,0.070326105,1
-341.1120605,140.6512909,-43.13289261,11.28886604,-19.46258163,-18.94955444,-41.99497986,-2.302974463,-17.18939209,-15.16792965,-14.72991276,-21.99202728,-8.725294113,-24.35998344,7.04999733,-17.00844383,-20.65031433,4.670125008,-19.13924599,-3.819803715,1556.080344,1592.805295,21.50923835,0.007655382,2979.265318,0.124199819,0.089624553,1
-330.6146851,146.8239594,-41.47667313,15.90630436,-16.07849693,-20.79947472,-42.63682938,-7.965886593,-18.06276894,-17.11475945,-15.16352749,-24.48540878,-9.742845535,-25.55426788,7.27175808,-15.03061199,-23.4461937,6.708011627,-20.48325729,-5.614688396,1457.236618,1435.215739,21.79087657,0.004079427,2687.433749,0.134110961,0.070403202,1
-339.1508179,139.6629639,-42.03314972,16.48985863,-10.31407547,-21.74318123,-41.57673645,-4.936300755,-14.92871571,-16.96134186,-16.92334747,-22.21879196,-10.51513863,-23.45248985,5.981637478,-16.95097923,-20.91270447,5.053593636,-17.7371788,-4.437981129,1489.049732,1545.669517,21.4540429,0.006901956,2865.499339,0.141179547,0.083073572,1
-330.2830505,154.5398865,-49.46675491,12.46213818,-17.93031883,-18.71794319,-43.3166008,-4.679811954,-15.12021732,-16.620924,-14.00326824,-23.89440727,-11.61128139,-23.6929245,6.836729527,-19.78679276,-19.36460686,2.41637969,-19.89024734,-2.490074158,1418.41718,1418.464047,21.43432191,0.004503305,2639.600705,0.126868855,0.072932288,1
-340.4655457,151.3031158,-45.37602615,10.7810297,-17.84790421,-18.624506,-41.71403885,-2.114994764,-16.6493206,-18.81502342,-12.53432465,-23.95346642,-10.38148499,-22.17133713,4.312388897,-19.54148865,-18.610075,2.501967669,-19.46903992,-2.08044982,1439.290029,1459.077752,21.22225201,0.004889133,2709.95028,0.153705056,0.077840799,1
-340.9921265,144.4834137,-46.49556351,25.03830338,-11.63203049,-17.43291664,-43.5720253,-4.446281433,-18.8037262,-16.19166183,-18.21926308,-23.87193489,-9.571953773,-26.03653717,7.582622528,-15.96979618,-23.48256111,5.158958435,-17.38295555,-4.853865147,1507.052407,1535.269498,21.7570848,0.005992463,2856.932725,0.138461248,0.077660906,1
-340.0126343,146.6836548,-46.61408234,23.27651215,-13.15119743,-20.22742081,-44.84266663,-2.307106972,-18.23297119,-18.34067345,-17.9279747,-22.81039047,-9.531237602,-27.70669174,8.375641823,-17.60428047,-24.10651779,5.858996868,-19.07621765,-4.422863483,1487.072361,1508.825523,21.90443894,0.004060252,2775.116553,0.145041002,0.074808316,1
-333.8013916,149.4859467,-45.80954361,13.06268597,-19.55535889,-16.52334976,-43.1982193,-2.7815063,-16.49034309,-18.62845421,-15.22200966,-23.46308327,-10.08739948,-23.45327377,5.585830212,-17.01807404,-21.64428329,3.352562189,-18.19044876,-5.100438595,1461.832333,1510.376444,21.43278447,0.004408847,2772.399902,0.130232069,0.080799965,1
-336.0505981,146.4125519,-38.79217148,8.506601334,-20.86658859,-18.5457077,-43.6146965,-2.805310488,-16.75676727,-18.69334602,-11.46444416,-24.09605026,-10.01169014,-23.96046257,6.693904877,-14.95611477,-21.46448326,3.914048195,-19.07222939,-4.939557552,1486.700313,1463.034651,21.43643301,0.004445921,2625.234126,0.13527329,0.076929996,1
-338.6463928,148.6972809,-39.74995041,11.86089706,-17.18261528,-20.89108849,-40.92245865,0.591495216,-15.97230244,-21.15602684,-17.68103218,-23.10682106,-10.71613979,-23.98581886,4.292914867,-16.76160049,-20.40590286,2.270073175,-18.10865021,-5.151744366,1417.030605,1448.470479,21.51432793,0.003530269,2607.667565,0.142352404,0.076463634,1
-344.6541443,137.2207642,-39.91519547,19.60786057,-12.56720161,-18.7733326,-44.33845139,-3.329023361,-16.60282135,-18.31422043,-15.67358971,-24.27066612,-10.21394444,-20.84718323,6.665607452,-18.46042633,-19.10410309,2.384571075,-18.17373276,-4.153009892,1548.465375,1557.808231,21.22223735,0.00681834,2915.415704,0.123276626,0.078833235,1
-327.577301,144.5801086,-47.45411682,14.34751606,-22.99562263,-15.72358131,-45.35372543,-5.634279728,-16.05134392,-14.14755344,-13,-22.11499596,-8.323286057,-24.2872715,8.138653755,-18.66507149,-23.18931007,4.602214813,-19.77880669,-4.48279047,1515.246729,1604.501595,21.61724177,0.006064595,2885.749217,0.121838202,0.089676706,1
-352.2360535,147.3344574,-37.47048187,8.831635475,-19.07409859,-17.1432972,-41.45576096,-2.56949234,-19.37576103,-16.99398804,-13.86994362,-22.47722435,-10.28248501,-23.86242485,6.242399693,-18.01011086,-20.03010368,2.822583199,-19.66685677,-3.210132599,1513.868625,1484.657193,21.58857695,0.006785908,2751.083365,0.133123466,0.078519555,1
-345.1203918,137.0498657,-37.33810043,11.7747364,-22.84837341,-18.33865547,-39.57849884,-1.561857939,-18.30842209,-14.69340134,-13.61850834,-22.90945435,-8.933673859,-22.81679344,4.763448715,-15.9068079,-18.66825104,1.659774542,-17.7154007,-4.025234222,1564.48307,1616.203674,21.23005804,0.007954852,2960.598764,0.135979291,0.091419704,1
-355.8338623,150.8357239,-38.17683792,5.849322796,-23.08999825,-20.36564827,-38.46517944,-2.846150637,-16.50722313,-14.21827507,-15.27291584,-22.21397591,-7.34366703,-24.05524826,6.026253223,-16.7910614,-22.08690834,3.169226408,-18.84777641,-4.309500217,1460.071468,1446.382397,21.41589042,0.00655817,2675.317156,0.131762155,0.076338163,1
-367.3751831,141.0393524,-35.5947113,4.407524586,-17.764328,-19.76564407,-32.34753036,-4.19441843,-15.30518055,-14.81404781,-15.23112774,-21.61446571,-7.328006268,-22.08518219,4.141584873,-14.32091904,-20.82923698,3.792218924,-16.35418129,-5.912620544,1500.056872,1489.230444,20.86704884,0.008798181,2763.96662,0.129408553,0.079031268,1
-350.9236145,148.7989044,-40.50168228,9.767023087,-17.2173214,-14.6834383,-40.19762421,-7.021279335,-19.43817711,-14.34581947,-13.69312954,-21.80927849,-8.629405975,-26.84537697,4.999108315,-11.85629177,-24.26213646,5.19671917,-17.42524529,-7.559682846,1502.287522,1512.242916,21.39781757,0.006676919,2818.799622,0.127891495,0.079675255,1
-344.2536621,146.1363983,-38.26350784,10.07098866,-17.40806198,-18.35083008,-43.85213852,-2.925642967,-15.88991737,-13.71253395,-16.49065781,-22.67034531,-10.16810894,-26.06060219,4.345624447,-13.77807522,-23.55286407,4.315033436,-16.66069984,-7.803389072,1474.537589,1573.985601,21.52320982,0.004561363,2832.132874,0.142750008,0.089887589,1
-359.9197083,149.5320435,-39.828125,8.894300461,-11.81273079,-18.58724022,-41.15657806,-5.632387638,-16.58201027,-15.59875965,-12.8928051,-24.07585907,-8.424190521,-24.79732323,4.304581165,-14.95343685,-23.70795441,4.220064163,-16.39345551,-4.712063789,1444.394327,1403.440933,21.36757044,0.006093128,2595.867636,0.135622326,0.071302668,1
-359.7776794,135.1450043,-40.7217865,17.28110123,-14.04620361,-15.40812778,-39.45145798,-2.802868843,-18.1064415,-16.00708389,-16.29361343,-21.94173813,-8.093167305,-24.03365135,5.534297466,-15.34682369,-22.11843872,2.831707478,-16.32664108,-5.271178722,1606.018961,1656.850672,20.96779272,0.009141934,3143.814323,0.139774747,0.086415199,1
-348.7685852,148.0387421,-44.27790451,14.53872681,-14.89073944,-22.54264259,-37.43957138,-7.244298458,-17.35891914,-15.6493187,-15.52906895,-20.94225311,-11.09825897,-24.87723351,7.442000389,-16.62766838,-23.44471169,4.73084259,-18.23512459,-5.594405174,1445.322251,1504.760133,21.58718882,0.006212244,2798.366412,0.133906748,0.079570192,1
-348.9558411,143.7817993,-37.16896057,11.79191494,-17.23534012,-24.10282898,-38.62236786,-3.065073013,-18.45927238,-16.65480614,-18.46709251,-21.43195915,-7.589159012,-24.09652328,6.334574699,-15.39529133,-22.50156403,3.815088511,-17.45454597,-4.904494762,1494.716465,1522.356703,21.4777315,0.007533147,2844.732798,0.111917696,0.080544487,1
-339.9669189,138.9143066,-41.78860474,15.49786568,-14.50291729,-20.72937202,-38.50583649,-6.0229249,-16.21160507,-14.63455391,-16.45349312,-22.94701958,-7.686328411,-24.32734108,6.289933205,-14.6059227,-23.34666061,3.496136189,-17.35131836,-5.566465378,1494.664971,1540.448411,21.44708458,0.006214632,2835.449521,0.14090534,0.082207364,1
-315.5911255,143.3113403,-51.22471237,20.67945099,-15.57501698,-19.34482193,-43.41329575,-3.269706249,-19.69416237,-16.23684883,-16.63166618,-25.02069283,-8.149811745,-27.27039528,7.127385616,-14.62559223,-23.69214058,5.500711441,-18.31065559,-4.353834152,1503.393805,1580.06227,22.16117919,0.003884987,2915.699036,0.125356615,0.083046361,1
-336.5032349,140.2651367,-39.16778946,20.95986176,-19.69325447,-23.63947678,-44.26433563,-0.727108836,-14.830163,-13.33458042,-20.05250168,-24.50020981,-8.598581314,-23.18583679,6.942412853,-17.2444191,-21.93396759,2.395454168,-18.69825172,-3.857750654,1541.273647,1614.762844,21.73788549,0.006418861,2951.44882,0.136020003,0.089567108,1
-325.2454834,144.9233551,-45.70924377,21.03881836,-14.86965942,-22.71033096,-43.70318604,-10.47949409,-17.51306534,-7.878271103,-16.25586319,-25.60935593,-8.285930634,-26.49795532,5.906924248,-9.181981087,-24.82184029,-0.843354702,-15.32567883,-8.287946701,1459.694279,1483.715582,21.94947125,0.005121033,2771.949905,0.131009663,0.078586826,1
-328.1112671,133.0289459,-46.92985535,27.08468628,-7.006882668,-17.30418015,-43.72645187,-15.22524166,-19.41275597,-6.771955967,-15.2414999,-29.30776787,-7.036813736,-24.85460472,-2.374943018,-5.207588673,-20.4823494,-9.451694489,-7.531642914,-10.8413105,1491.378624,1556.594324,21.4284652,0.007302839,2947.882175,0.143852477,0.080204353,1
-355.4274292,138.324707,-35.46411133,20.75606537,-17.52446365,-20.09309769,-42.89627838,-7.87532711,-16.88570976,-10.94958305,-15.87224579,-29.00060463,-4.812960148,-21.44145012,-1.979336143,-1.222450376,-22.71071625,-6.841042519,-7.338810444,-14.19895267,1520.530225,1513.334627,21.27859774,0.009663396,2867.499327,0.134514989,0.073097064,1
-323.4537659,145.842926,-49.80230331,21.37780571,-15.80593014,-22.93898964,-41.54819489,-10.04291916,-17.02724457,-8.038226128,-15.62997913,-26.20516205,-5.409250736,-28.24684906,3.016017199,-6.585001945,-28.13533401,1.629026771,-14.47164059,-10.04971886,1471.765847,1487.771814,21.53570456,0.006536008,2830.966215,0.129819572,0.073765994,1
-334.8139343,145.776123,-46.29708481,25.99402618,-18.52292061,-22.60677719,-46.1190033,-3.574862242,-17.90016747,-9.398213387,-18.43705368,-27.69145203,-7.267839432,-27.09980202,5.199558735,-11.11933517,-27.6045742,2.018587589,-17.1824379,-7.480826378,1506.358013,1559.628687,21.948034,0.005198554,2894.015834,0.133109815,0.081708501,1
-333.5314941,137.7797089,-51.29587555,19.5530262,-15.4956646,-16.52317238,-41.97937012,-8.405534744,-17.45617485,-12.59420776,-14.51671314,-23.36852646,-8.334764481,-27.5420742,3.983260393,-9.402101517,-26.72130203,4.811284065,-15.16357136,-9.266461372,1541.387067,1638.978242,21.43400125,0.007346823,3075.331404,0.122906253,0.08846205,1
-353.4824524,147.5446167,-39.29148865,12.14366341,-23.2508564,-20.17737389,-36.75012207,-4.207149029,-18.86652756,-13.73722935,-16.49447632,-21.8412075,-8.721405029,-25.35596848,5.847548962,-14.22841263,-22.54006195,4.87166357,-17.91013336,-6.553294659,1495.89763,1531.234249,21.27192319,0.006524747,2830.816216,0.145241401,0.083737211,1
