MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-379.2871094,83.70238495,21.69814491,15.37300873,-8.157714844,-25.7142849,-13.47917461,-2.305696249,-23.06965256,2.674032211,-17.24573898,3.54889679,-11.26142883,-0.185482174,-9.253255844,-12.01904774,-1.744992495,-3.029818296,-6.893260479,-0.400495797,1878.211464,2244.793328,22.09684864,0.053576063,3721.627496,0.120000074,0.124980348,1
-415.7003784,76.33824921,20.26600075,11.51055431,-7.281952858,-22.8413868,-10.02019501,-2.384113073,-19.60289955,0.320216924,-12.6858511,3.711802244,-10.28078938,-0.623695493,-7.826152325,-9.629946709,-1.088154078,-2.591695309,-4.684427261,-0.404709369,1850.898111,2233.721312,19.51150307,0.208207309,3806.910313,0.091275984,0.09967589,1
-437.0079346,85.36894989,22.05920029,23.7576828,-8.239185333,-28.02660561,-5.603836536,-0.528501332,-17.16273308,-4.293080807,-12.50357819,7.444712162,-16.20925713,3.936749458,-10.63697147,-11.51871777,-0.524525344,-3.992668867,-7.357009411,0.682877362,1714.408976,2319.931564,22.1583454,0.032914288,3594.761596,0.125719056,0.14738384,1
-447.7943115,97.81661224,19.64207077,20.73849106,-5.404559612,-26.9668293,-8.247677803,-4.361275196,-15.3023386,-3.775528193,-13.90714359,7.07586956,-14.35184956,3.151821852,-10.51889801,-9.4252491,-0.815712631,-3.613657713,-6.362799168,-0.442878753,1665.674396,2003.12762,21.19443659,0.074469075,3277.180183,0.102862667,0.109289589,1
-430.9490662,83.41808319,20.52240944,23.17422295,-4.820578575,-27.51218414,-6.791674614,-3.671327353,-16.57684326,-3.584097862,-13.42115498,5.814605713,-13.50344944,-0.392921358,-9.498828888,-9.002256393,-1.70198369,-3.913036108,-5.170126915,-0.893562138,1714.191759,1868.326184,20.86810952,0.128209785,3231.530459,0.109074843,0.081378949,1
-424.2561951,97.55382538,19.10681343,22.91913605,-10.5795927,-31.6663723,-7.934185028,-4.577785015,-20.41422272,-1.384483933,-17.29362679,7.159546852,-14.03823566,1.960180163,-11.30578041,-11.26375961,1.000187993,-6.963318348,-5.243958473,-0.724781692,1732.736812,1931.258852,22.53975823,0.032454677,3269.630229,0.129083543,0.11112858,1
-408.2347717,93.09358215,9.227033615,22.21343231,-12.22736835,-30.86794281,-8.962569237,-3.823246717,-19.42338753,-0.634648919,-15.39730835,4.944983482,-12.60775757,0.901620805,-10.67837048,-11.75102615,-0.455564857,-6.302331448,-5.675363064,-0.843694091,1714.164923,1887.531458,21.88557364,0.061797056,3234.880439,0.112495065,0.096263968,1
-421.5166321,106.5823059,20.85002327,18.13482094,-7.795504093,-29.54698944,-7.619879246,-3.961550474,-19.12112427,-0.641838074,-14.16901493,3.768362045,-11.53735447,1.576709867,-10.28700638,-13.35765743,0.213585541,-4.0374403,-5.741886139,-3.149338484,1575.306095,1761.844718,22.57929276,0.025135843,2907.149088,0.127657814,0.105542068,1
-443.5505066,80.84199524,16.59228325,16.2281208,-7.523384571,-25.76593971,-8.837479591,-1.206387877,-14.94198704,-2.494194746,-10.83019257,2.292150259,-9.450342178,-1.142513633,-7.546185493,-9.28751564,-0.863238275,-2.937785625,-4.510803699,-0.944070935,1661.216483,2139.725758,20.73488086,0.167807922,3588.344968,0.113179217,0.090028934,1
-435.4954529,86.68990326,22.07750511,24.53740883,5.488875866,-30.41060448,-15.64074421,-2.188785076,-15.94408798,-2.409777403,-15.90311146,3.88993001,-11.01505852,0.099815264,-11.41512871,-10.2470541,-1.209418774,-4.981167316,-6.517847061,-1.85446322,1694.359158,1980.229444,22.05809556,0.086289838,3242.013729,0.111081631,0.109716646,1
-415.8326111,89.01595306,12.29458141,30.11386108,2.682631493,-31.19100761,-16.1295681,-7.675756931,-19.1541729,3.150387526,-18.03972054,6.591294765,-12.85197353,1.681506634,-10.01632214,-13.54233646,0.635976732,-7.554329395,-4.235160351,-1.14173758,1817.868916,1894.220915,22.3872841,0.068743534,3366.662976,0.107975858,0.088000224,1
-381.2871094,83.07700348,5.417139053,28.19089317,6.57619381,-29.03395271,-19.23873711,-6.655724525,-22.84371758,5.220229626,-19.14320946,3.683921099,-11.96679211,-1.855035424,-7.407856941,-15.43067741,-1.168699861,-4.633277416,-4.416567326,0.811124921,1911.851436,2049.004472,22.86423649,0.009420065,3657.211219,0.12696999,0.126810269,1
-454.7879333,100.3031693,21.81482506,13.30094337,-3.80469656,-19.74869919,-13.06430817,-4.941657066,-19.75906944,1.721073866,-13.27919102,1.835111976,-9.04046917,-3.647915125,-7.808522701,-12.88831329,0.530471325,-5.867060661,-3.112619638,-1.432236671,1636.666274,1901.009852,21.2031386,0.087496758,3054.264865,0.101322192,0.102319865,1
-486.5073547,105.1964035,24.36159706,7.101521492,-9.73006916,-15.6448698,-9.042473793,-4.204419136,-18.85323143,0.020911036,-9.206950188,1.229386091,-10.59061909,-5.176669598,-7.403260708,-15.4762392,0.937251329,-7.789875984,-1.125111103,-3.029341221,1698.697328,1720.135623,20.73505138,0.082159646,2966.365396,0.12498741,0.077078143,1
-474.9975891,126.6264267,27.22999954,6.85206604,-12.12982559,-17.15294838,-11.08534813,-7.546160698,-20.16552544,-0.568059862,-10.37599659,4.507788181,-12.12542057,-5.437992096,-7.519837379,-18.9906559,1.74754107,-7.664809227,-1.352792144,-2.775807381,1567.136143,1506.387918,21.76822612,0.022407431,2401.885476,0.132429547,0.087325247,1
-457.6369019,104.4127579,19.70130157,-3.631259203,-20.05015945,-8.982005119,-8.396464348,-7.454490662,-14.98189735,2.150199413,-9.098966599,-0.028952442,-11.05845642,-3.317837477,-7.62107563,-12.02619648,-3.602063656,-5.646181107,-1.964246035,-2.152282953,1648.820796,1897.121499,20.34437086,0.062130764,3121.79779,0.114442451,0.106938885,1
-477.3574829,93.07593536,17.81166649,2.282430172,-13.41252232,-13.93887234,-10.3769846,-3.655648708,-16.07427025,-1.761882782,-6.198682308,0.730018973,-10.26630497,-1.436901927,-7.896009922,-10.60571098,-0.566044331,-5.653079987,-2.537000418,-0.54104954,1685.137023,2004.47602,19.67180787,0.124015339,3314.046627,0.106214773,0.101308533,1
-452.2467041,88.51464081,32.2430687,7.691757202,-7.3007617,-17.74735641,-11.76223278,-9.201792717,-14.55334091,-4.977941036,-9.032590866,0.994135737,-10.83136654,-3.528995275,-9.832342148,-11.97903824,-3.258526325,-4.103600502,-5.098234653,0.908678353,1578.470965,1918.410653,21.58768992,0.078478307,3014.048441,0.12117394,0.108410531,1
-458.9365845,107.1553802,25.24625206,5.916705608,-8.650443077,-18.25870514,-12.49285698,-10.17037487,-14.49741173,-2.507829666,-10.19162655,5.483211517,-13.38815594,-3.484382629,-8.353087425,-14.72952366,-2.301342964,-3.208218813,-5.075259686,0.307700098,1623.195942,1789.705174,21.43107747,0.085524566,2953.265475,0.12867609,0.094011525,1
-434.7973938,93.43729401,26.11082649,8.570642471,-6.778580189,-23.387146,-16.8659687,-8.207798958,-17.67455292,-5.717078209,-9.721849442,3.104790688,-11.28621101,-1.42571044,-8.268122673,-12.26603794,-0.559560239,-4.697778225,-4.855900288,1.726220846,1771.401933,2061.781535,22.11619907,0.0298841,3284.33014,0.118221224,0.124244903,1
-452.7328796,91.5460434,25.91556168,2.694941759,-9.283286095,-18.11709023,-7.763009548,-9.007166862,-15.47122574,-2.399394512,-8.673705101,3.19197011,-10.12213993,-3.294083357,-7.68670845,-9.895802498,-2.253178835,-3.587776899,-3.172361851,-0.034394965,1565.196736,1652.50469,20.5150491,0.185663909,2701.250333,0.094391529,0.069215001,1
-428.8151245,105.4892883,36.9884758,-0.368908852,-10.42058659,-20.39673615,-9.454964638,-11.5772028,-20.33970833,-2.069928885,-12.89876366,5.401751041,-14.59676552,0.98868686,-9.635130882,-10.31454659,-1.411183238,-3.986426353,-4.332200527,1.039686084,1855.295122,1966.591474,20.97573871,0.070605345,3162.230878,0.122020846,0.095455205,1
-407.1012573,95.66001129,33.38388443,-2.188330412,-13.30953693,-18.28951073,-9.721003532,-12.12430573,-19.92427063,-3.591395855,-11.25857544,6.062346935,-12.0422821,-0.405870467,-9.290949821,-10.34703064,-1.921116471,-3.131089211,-4.957605839,1.726047158,1953.844699,2018.031284,20.75594366,0.088098884,3362.063003,0.121391994,0.090398546,1
-456.8327637,90.68466949,43.06153107,14.69486618,-10.81998158,-18.81864738,-9.691259384,-12.82289124,-21.13541222,-1.18132031,-13.75211334,6.714314461,-11.02109241,-2.438845158,-8.144732475,-12.84886837,-2.027197599,-4.018241882,-3.648877382,-0.653656602,1733.133712,1973.041458,21.33095381,0.086874284,3109.497864,0.110558361,0.100208767,1
-458.6735229,97.65855408,37.3418045,18.07169151,-17.64788055,-19.41337395,-5.806537151,-14.01691628,-18.28107071,-2.340045691,-10.9150629,3.542799473,-7.422370911,-5.580170155,-7.205694675,-13.6068306,-1.625128627,-4.488796711,-3.081866264,-1.096195102,1468.284129,1444.704857,21.40826027,0.112929203,2307.719379,0.111897033,0.066221822,1
-443.0107727,96.69235992,28.38551521,6.697474957,-23.6827774,-16.97026253,-5.449799061,-14.57071781,-16.90406036,1.978037715,-13.88291645,1.572545886,-7.64335537,-4.911017895,-6.220337868,-13.65611267,-1.921530724,-4.872675896,-2.229453564,-1.297224164,1639.827825,1812.777219,21.49642958,0.077066757,2890.215857,0.11290463,0.086320718,1
-455.7041321,96.5067749,31.99804115,10.44223499,-16.95425034,-23.73317719,-8.294921875,-11.84582138,-17.82547951,1.480732083,-13.37272358,1.632907033,-8.446291924,-5.735199451,-7.844789982,-13.00833988,-4.511426926,-3.72334981,-5.157020569,-0.307089657,1590.63518,1918.056494,22.26951501,0.030803908,2989.281924,0.113998903,0.115356067,1
-449.2976379,92.80635834,32.52500534,13.39235115,-18.5654335,-22.66319084,-9.531355858,-11.88108444,-21.5012722,-2.42790699,-11.81792355,2.576034784,-7.486192226,-4.946428299,-7.928447723,-11.57399559,-2.044733286,-1.687081218,-3.200540066,0.108132757,1693.045887,2002.804709,20.61524376,0.072056741,3247.213698,0.115228776,0.093579177,1
-463.6516113,80.14363861,27.83243561,13.62095737,-16.88706398,-21.9945488,-3.847974777,-9.761206627,-15.63180542,0.957761943,-10.50914764,1.640314937,-6.620597839,-4.706386089,-8.253091812,-8.10658741,-4.929528713,-1.996539354,-2.512938976,1.254105091,1510.310969,1717.239193,21.60229658,0.164200768,2815.549641,0.119478805,0.085524804,1
-458.2147827,91.17835999,28.9656086,17.82448769,-15.56394482,-24.7551918,-3.050351143,-10.10791016,-19.33736801,0.058873132,-13.44904327,3.029755354,-7.760835171,-3.961588383,-10.09274197,-10.04430103,-3.997267485,-2.735580206,-4.633625984,-0.644417703,1653.023679,1748.725196,21.36261205,0.113311343,2936.915574,0.098065346,0.077793936,1
-447.1697998,88.36600494,27.5046978,14.31163406,-24.09824753,-28.85431671,-0.016501507,-9.02449894,-21.19972038,3.069863796,-15.76259232,2.647411823,-8.643621445,-4.342660904,-7.622591972,-9.630194664,-4.334951878,-2.965740681,-6.399216175,1.396093965,1767.724207,2289.516139,21.97757203,0.05242686,3618.161455,0.134351554,0.138508611,1
-459.0723572,83.01582336,29.39390564,19.71645164,-17.0085907,-26.81558037,-1.209072828,-10.66121483,-23.93271637,2.851640224,-12.29862404,2.801269531,-9.548577309,-1.924922943,-8.112784386,-8.69935894,-4.297028065,-2.169883251,-6.177841663,0.551491022,1777.158435,2057.929267,21.6861669,0.116270162,3394.01281,0.123529431,0.100055328,1
-412.0483704,103.6572418,17.37808418,5.277151108,-22.33327675,-30.02292633,0.95830828,-8.954352379,-19.87827873,8.513830185,-14.9139328,0.130922258,-10.37995052,-2.287547112,-9.419810295,-10.29484653,-3.36049509,-3.00962925,-5.135912418,-0.630411446,1740.75948,1778.798453,22.65532585,0.047990184,3000.265191,0.115058086,0.079032024,1
-426.4081421,94.49224854,24.25896835,25.64328003,-10.51243973,-30.5825386,-5.582766533,-9.446320534,-25.10331917,1.738021374,-14.9851675,2.125041485,-9.661326408,-3.432071924,-11.36073112,-9.916041374,-4.28434515,-3.261092901,-4.052554131,-0.726269126,1721.050581,1803.794074,22.5301275,0.035088982,3029.315015,0.127071064,0.088329776,1
-406.5521851,94.08256531,21.33809853,22.8675251,-12.9122467,-33.81768799,-5.611218452,-8.499746323,-24.418993,3.929992199,-15.63583755,3.014351845,-11.63249588,-1.158439875,-10.32155514,-11.04854107,-3.291677713,-4.107666016,-6.387413502,-0.651200354,1792.303056,1963.641141,22.86272448,0.016013611,3285.830131,0.12879274,0.104727258,1
-420.9530334,84.70346069,16.86344147,7.212343216,-12.78840065,-21.37517166,-6.422977924,-3.2928195,-23.02757263,5.075922012,-14.82351112,3.315599442,-11.18891335,-2.908795834,-8.810111046,-10.33140087,-3.244484425,-4.640487671,-4.666495323,-2.126415253,1824.791805,2263.739705,21.84796293,0.064523503,3661.47786,0.115446623,0.124470903,1
-438.9833069,103.5472412,26.39127731,3.757272005,-15.14863396,-22.96110153,-11.6869545,-2.461724758,-21.84262848,0.217838019,-11.14548779,2.681485415,-10.51188183,-1.64532733,-8.607099533,-11.15628815,1.139261007,-7.545269489,-2.387130976,-2.21612072,1667.869115,1928.923454,21.67599401,0.035909727,3095.931279,0.124796786,0.109894271,1
-428.703949,98.75320435,25.79165649,6.745234489,-6.810079575,-21.30104828,-17.39404488,-4.796009541,-18.70357323,-0.592229903,-10.23959827,1.25291121,-8.724914551,-3.032799959,-9.534189224,-12.190238,0.473842382,-7.863699913,-2.28034687,-2.343791246,1629.158226,1699.270119,21.58870146,0.059175894,2775.066553,0.128853612,0.087431822,1
