MFCC[0],MFCC[1],MFCC[2],MFCC[3],MFCC[4],MFCC[5],MFCC[6],MFCC[7],MFCC[8],MFCC[9],MFCC[10],MFCC[11],MFCC[12],MFCC[13],MFCC[14],MFCC[15],MFCC[16],MFCC[17],MFCC[18],MFCC[19],MFCC[20],MFCC[21],MFCC[22],MFCC[23],MFCC[24],MFCC[25],MFCC[26],MFCC[27],MFCC[28],MFCC[29],MFCC[30],MFCC[31],MFCC[32],MFCC[33],MFCC[34],MFCC[35],MFCC[36],MFCC[37],MFCC[38],Spectral_Bandwidth,Spectral_Centroid,Spectral_Contrast,Spectral_Flatness,Spectral_Rolloff,Tempogram,Zero_Crossing_Rate,Label
-379.2871094,83.70238495,21.69814491,15.37300873,-8.157714844,-25.7142849,-13.47917461,-2.305696249,-23.06965256,2.674032211,-17.24573898,3.54889679,-11.26142883,-0.185482174,-9.253255844,-12.01904774,-1.744992495,-3.029818296,-6.893260479,-0.400495797,-7.460504532,-5.939178944,-3.000837564,-1.56590116,-5.052585602,3.916837692,-2.723296165,4.789227009,1.850746989,7.119950294,4.899651527,6.053288937,7.743698597,5.863603115,8.711472511,6.551665783,4.70960331,6.772464752,3.449311733,1878.211464,2244.793328,22.09684864,0.053576063,3721.627496,0.120000074,0.124980348,1
-415.7003784,76.33824921,20.26600075,11.51055431,-7.281952858,-22.8413868,-10.02019501,-2.384113073,-19.60289955,0.320216924,-12.6858511,3.711802244,-10.28078938,-0.623695493,-7.826152325,-9.629946709,-1.088154078,-2.591695309,-4.684427261,-0.404709369,-7.333813667,-4.704213619,-2.871185064,-2.754565001,-3.813337564,3.379730225,-1.61252296,4.740090847,0.98366183,5.698677063,3.570146322,4.227153778,5.708256721,3.09436655,6.062011719,3.185388803,2.013139963,4.717472553,2.559038877,1850.898111,2233.721312,19.51150307,0.208207309,3806.910313,0.091275984,0.09967589,1
-437.0079346,85.36894989,22.05920029,23.7576828,-8.239185333,-28.02660561,-5.603836536,-0.528501332,-17.16273308,-4.293080807,-12.50357819,7.444712162,-16.20925713,3.936749458,-10.63697147,-11.51871777,-0.524525344,-3.992668867,-7.357009411,0.682877362,-7.739581108,-4.988031387,-2.166232347,-5.735230446,-5.159124374,1.79309237,-4.570271492,1.504952431,-2.316691875,2.198762655,0.890815258,3.988765001,5.782954216,5.520430565,8.960513115,7.342156887,5.717225552,7.843243599,7.251678944,1714.408976,2319.931564,22.1583454,0.032914288,3594.761596,0.125719056,0.14738384,1
-383.6283875,100.2001801,5.191795349,18.02615166,19.44913673,6.701855183,7.620652199,-0.887523532,-5.817592144,-1.525144577,-3.124381542,-3.415225267,-3.624449015,-6.498971462,-1.422370434,1.157208562,-5.976951599,-8.831377029,-4.389862061,-4.534236908,-6.031470776,-4.713291168,-5.243155003,-3.211479187,-2.442096472,-5.291276932,-4.243467331,-2.307492256,-3.267808676,-2.885533094,-1.760383725,-3.119151354,-3.87744832,-1.78782177,-1.32115674,-3.972468853,-2.89832449,-1.718528867,-3.686386347,1324.653879,1570.723383,21.19551884,0.02860146,2793.10811,0.096688649,0.083724361,1
-412.2829895,83.74298859,-7.281812191,14.7998867,18.69586754,6.460562706,8.277839661,1.106057763,-6.393482208,-3.254460335,-4.175665379,-3.204944372,-1.307029724,-5.466331482,-0.617666662,3.012056351,-5.498283386,-8.908916473,-2.8005867,-3.180423021,-5.752845764,-3.94862771,-4.173210144,-3.506529093,-3.19974184,-4.013674259,-2.987358809,-1.792501211,-2.370094538,-1.907601476,-1.302558422,-2.902683973,-2.561754465,-1.52476418,-1.735808849,-3.382027864,-2.605499744,-1.217840672,-3.109760046,1635.372828,2128.074853,20.51363532,0.052567944,3745.360686,0.090555684,0.11421813,1
-399.1779785,103.3462677,-1.8526299,20.00835609,21.56861115,5.895152569,8.618488312,0.585153043,-7.459738731,-1.463312864,-1.429559588,-2.989032984,-3.030525446,-7.767247677,-1.191013694,4.308616638,-5.943471432,-10.15237522,-2.747457981,-3.768022537,-7.439612389,-5.310838223,-5.362362385,-4.24398756,-3.394073248,-5.414083481,-4.408930302,-1.661365986,-3.038223505,-2.958195925,-0.814130366,-2.917605162,-3.117992163,-1.508716583,-1.784399986,-3.791166782,-3.488435507,-1.490926504,-3.076337337,1418.331447,1691.06623,21.7992636,0.033090834,3042.239937,0.102628602,0.090087891,1
-378.4920959,92.2124176,-6.492536545,13.19182968,-11.61636066,-17.99172783,-14.20953465,-15.97254753,-23.29118919,5.332789898,-17.24337578,-13.37766552,-20.09626579,-6.943358421,-5.70612669,-9.817274094,-7.849024296,-15.33728313,-14.78205109,-4.393776894,-4.768880367,-2.84210968,-8.191728592,-3.433724403,1.831877947,3.038874626,1.211283445,1.457860589,3.16697979,3.095602036,1.336373448,1.122353911,2.319292307,-1.707483649,2.430318117,4.42790556,3.708904982,2.462797642,1.541422486,1826.080382,1693.207547,22.44324824,0.015436206,3244.063717,0.140499821,0.082912575,1
-375.8305054,81.52263641,-13.52059841,8.464662552,-13.96790981,-16.60354996,-15.93509769,-13.88670254,-23.2921772,7.323840141,-17.28033638,-13.58686733,-18.32192612,-4.744503498,-4.796261311,-8.389702797,-8.953985214,-15.68289185,-13.03766155,-3.320052385,-3.867880344,0.543052912,-4.494093895,0.25769195,2.377715111,3.49009037,-0.839773476,1.434967279,1.035402775,1.027674675,3.577938318,1.080496073,1.881971598,0.613262653,3.070142746,4.366755962,2.375739574,1.004170775,1.337185144,1959.441111,1982.90604,21.76386718,0.018631343,3753.360637,0.131490433,0.108811889,1
-371.8373718,85.11634827,-5.828012943,6.331112862,-17.20590591,-15.55674362,-13.9282589,-14.80711842,-22.9557991,5.574553967,-18.12612152,-17.12566566,-17.02747917,-3.78418684,-5.954780102,-7.213829994,-10.07028198,-16.39600754,-13.14426994,-5.345865726,-5.183976173,-0.322159559,-5.481696129,0.389380306,1.982230067,3.407926559,0.321281821,2.281072855,3.132976532,3.940024614,4.026791096,1.75878334,1.60267961,0.634836674,2.556613207,1.962181687,2.970235825,1.016217589,1.426571131,1827.395987,1860.652486,22.01337735,0.015606721,3360.996343,0.148774206,0.109121033,1
-346.0367126,91.10807037,12.99468899,22.55492401,-2.431123972,-2.527905703,-17.88611984,-14.5631094,-3.838617086,-10.52952194,4.322933674,-4.237984657,-9.251839638,1.213399529,1.110732317,-4.530836105,-3.156950712,-6.785592556,-10.10836029,-1.914148927,-5.341788769,-5.294721127,-6.372411251,1.72121501,-0.414335579,-1.221693397,-3.906344652,-1.935295343,-4.831045628,0.389807761,-5.240508556,-1.150740385,-1.660585165,0.777559698,1.551059127,2.381011009,0.506261349,1.154874206,-0.532110035,2388.728953,2345.844544,17.39373821,0.050219476,4683.121952,0.142860614,0.13055689,1
